Póstnúmer,Staður,Svæði
101,Reykjavík,Höfuðborgarsvæðið
102,Reykjavík,Höfuðborgarsvæðið
103,Reykjavík,Höfuðborgarsvæðið
104,Reykjavík,Höfuðborgarsvæðið
105,Reykjavík,Höfuðborgarsvæðið
107,Reykjavík,Höfuðborgarsvæðið
108,Reykjavík,Höfuðborgarsvæðið
109,Reykjavík,Höfuðborgarsvæðið
110,Reykjavík,Höfuðborgarsvæðið
111,Reykjavík,Höfuðborgarsvæðið
112,Reykjavík,Höfuðborgarsvæðið
113,Reykjavík,Höfuðborgarsvæðið
116,Reykjavík,Höfuðborgarsvæðið
121,Reykjavík,Höfuðborgarsvæðið
123,Reykjavík,Höfuðborgarsvæðið
124,Reykjavík,Höfuðborgarsvæðið
125,Reykjavík,Höfuðborgarsvæðið
127,Reykjavík,Höfuðborgarsvæðið
128,Reykjavík,Höfuðborgarsvæðið
129,Reykjavík,Höfuðborgarsvæðið
130,Reykjavík,Höfuðborgarsvæðið
132,Reykjavík,Höfuðborgarsvæðið
161,Reykjavík,Höfuðborgarsvæðið
162,Reykjavík - Dreifbýli,Höfuðborgarsvæðið
170,Seltjarnarnesi,Höfuðborgarsvæðið
172,Seltjarnarnesi,Höfuðborgarsvæðið
190,Vogum,Suðurland og Reykjanes
191,Vogum,Suðurland og Reykjanes
200,Kópavogi,Höfuðborgarsvæðið
201,Kópavogi,Höfuðborgarsvæðið
202,Kópavogi,Höfuðborgarsvæðið
203,Kópavogi,Höfuðborgarsvæðið
206,Kópavogi,
210,Garðabæ,Höfuðborgarsvæðið
212,Garðabæ,Höfuðborgarsvæðið
220,Hafnarfirði,Höfuðborgarsvæðið
221,Hafnarfirði,Höfuðborgarsvæðið
222,Hafnarfirði,Höfuðborgarsvæðið
225,Garðabæ,Höfuðborgarsvæðið
230,Reykjanesbæ,Suðurland og Reykjanes
232,Reykjanesbæ,Suðurland og Reykjanes
233,Reykjanesbæ,Suðurland og Reykjanes
235,Keflavíkurflugvelli,Suðurland og Reykjanes
240,Grindavík,Suðurland og Reykjanes
241,Grindavík,Suðurland og Reykjanes
245,Suðurnesjabæ,Suðurland og Reykjanes
246,Suðurnesjabæ,Suðurland og Reykjanes
250,Suðurnesjabæ,Suðurland og Reykjanes
251,Suðurnesjabæ,Suðurland og Reykjanes
260,Reykjanesbæ,Suðurland og Reykjanes
262,Reykjanesbæ,Suðurland og Reykjanes
270,Mosfellsbæ,Höfuðborgarsvæðið
271,Mosfellsbæ,Höfuðborgarsvæðið
276,Mosfellsbæ,Höfuðborgarsvæðið
300,Akranesi,Vesturland og Vestfirðir
301,Akranesi,Vesturland og Vestfirðir
302,Akranesi,Vesturland og Vestfirðir
310,Borgarnesi,Vesturland og Vestfirðir
311,Borgarnesi,Vesturland og Vestfirðir
320,Reykholti í Borgarfirði,Vesturland og Vestfirðir
340,Stykkishólmi,Vesturland og Vestfirðir
341,Stykkishólmi,Vesturland og Vestfirðir
342,Stykkishólmi,Vesturland og Vestfirðir
345,Flatey á Breiðafirði,Vesturland og Vestfirðir
350,Grundarfirði,Vesturland og Vestfirðir
351,Grundarfirði,Vesturland og Vestfirðir
355,Ólafsvík,Vesturland og Vestfirðir
356,Snæfellsbæ,Vesturland og Vestfirðir
360,Hellissandi,Vesturland og Vestfirðir
370,Búðardal,Vesturland og Vestfirðir
371,Búðardal,Vesturland og Vestfirðir
380,Reykhólahreppi,Vesturland og Vestfirðir
381,Reykhólahreppi,Vesturland og Vestfirðir
400,Ísafirði,Vesturland og Vestfirðir
401,Ísafirði,Vesturland og Vestfirðir
410,Hnífsdal,Vesturland og Vestfirðir
415,Bolungarvík,Vesturland og Vestfirðir
416,Bolungarvík,Vesturland og Vestfirðir
420,Súðavík,Vesturland og Vestfirðir
421,Súðavík,Vesturland og Vestfirðir
425,Flateyri,Vesturland og Vestfirðir
426,Flateyri,Vesturland og Vestfirðir
430,Suðureyri,Vesturland og Vestfirðir
431,Suðureyri,Vesturland og Vestfirðir
450,Patreksfirði,Vesturland og Vestfirðir
451,Patreksfirði,Vesturland og Vestfirðir
460,Tálknafirði,Vesturland og Vestfirðir
461,Tálknafirði,Vesturland og Vestfirðir
465,Bíldudal,Vesturland og Vestfirðir
466,Bíldudal,Vesturland og Vestfirðir
470,Þingeyri,Vesturland og Vestfirðir
471,Þingeyri,Vesturland og Vestfirðir
500,Stað,Vesturland og Vestfirðir
510,Hólmavík,Vesturland og Vestfirðir
511,Hólmavík,Vesturland og Vestfirðir
512,Hólmavík,Vesturland og Vestfirðir
520,Drangsnesi,Vesturland og Vestfirðir
524,Árneshreppi,Vesturland og Vestfirðir
530,Hvammstanga,Norðurland
531,Hvammstanga,Norðurland
540,Blönduósi,Norðurland
541,Blönduósi,Norðurland
545,Skagaströnd,Norðurland
546,Skagaströnd,Norðurland
550,Sauðárkróki,Norðurland
551,Sauðárkróki,Norðurland
560,Varmahlíð,Norðurland
561,Varmahlíð,Norðurland
565,Hofsósi,Norðurland
566,Hofsósi,Norðurland
570,Fljótum,Norðurland
580,Siglufirði,Norðurland
581,Siglufirði,Norðurland
600,Akureyri,Norðurland
601,Akureyri,Norðurland
602,Akureyri,Norðurland
603,Akureyri,Norðurland
604,Akureyri,Norðurland
605,Akureyri,Norðurland
606,Akureyri,Norðurland
607,Akureyri,Norðurland
610,Grenivík,Norðurland
611,Grímsey,Norðurland
616,Grenivík,Norðurland
620,Dalvík,Norðurland
621,Dalvík,Norðurland
625,Ólafsfirði,Norðurland
626,Ólafsfirði,Norðurland
630,Hrísey,Norðurland
640,Húsavík,Norðurland
641,Húsavík,Norðurland
645,Fosshóli,Norðurland
650,Laugum,Norðurland
660,Mývatni,Norðurland
670,Kópaskeri,Norðurland
671,Kópaskeri,Norðurland
675,Raufarhöfn,Norðurland
676,Raufarhöfn,Norðurland
680,Þórshöfn,Norðurland
681,Þórshöfn,Norðurland
685,Bakkafirði,Norðurland
686,Bakkafirði,Norðurland
690,Vopnafirði,Norðurland
691,Vopnafirði,Norðurland
700,Egilsstöðum,Austurland
701,Egilsstöðum,Austurland
710,Seyðisfirði,Austurland
711,Seyðisfirði,Austurland
715,Mjóafirði,Austurland
720,Borgarfirði (eystri),Austurland
721,Borgarfirði (eystri),Austurland
730,Reyðarfirði,Austurland
731,Reyðarfirði,Austurland
735,Eskifirði,Austurland
736,Eskifirði,Austurland
740,Neskaupstað,Austurland
741,Neskaupstað,Austurland
750,Fáskrúðsfirði,Austurland
751,Fáskrúðsfirði,Austurland
755,Stöðvarfirði,Austurland
756,Stöðvarfirði,Austurland
760,Breiðdalsvík,Austurland
761,Breiðdalsvík,Austurland
765,Djúpavogi,Austurland
766,Djúpavogi,Austurland
780,Höfn í Hornafirði,Austurland
781,Höfn í Hornafirði,Austurland
785,Öræfum,Austurland
800,Selfossi,Suðurland og Reykjanes
801,Selfossi,Suðurland og Reykjanes
802,Selfossi,Suðurland og Reykjanes
803,Selfossi,Suðurland og Reykjanes
804,Selfossi,Suðurland og Reykjanes
805,Selfossi,Suðurland og Reykjanes
806,Selfossi,Suðurland og Reykjanes
810,Hveragerði,Suðurland og Reykjanes
815,Þorlákshöfn,Suðurland og Reykjanes
816,Ölfus,Suðurland og Reykjanes
820,Eyrarbakka,Suðurland og Reykjanes
825,Stokkseyri,Suðurland og Reykjanes
840,Laugarvatni,Suðurland og Reykjanes
845,Flúðum,Suðurland og Reykjanes
846,Flúðum,Suðurland og Reykjanes
850,Hellu,Suðurland og Reykjanes
851,Hellu,Suðurland og Reykjanes
860,Hvolsvelli,Suðurland og Reykjanes
861,Hvolsvelli,Suðurland og Reykjanes
870,Vík,Suðurland og Reykjanes
871,Vík,Suðurland og Reykjanes
880,Kirkjubæjarklaustri,Suðurland og Reykjanes
881,Kirkjubæjarklaustri,Suðurland og Reykjanes
900,Vestmannaeyjum,Suðurland og Reykjanes
902,Vestmannaeyjum,Suðurland og Reykjanes
